開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,BONUS数字,セット
606,2011/3/22,9,20,23,30,31,1,J
607,2011/3/29,7,8,12,18,30,17,C
608,2011/4/5,13,19,21,25,29,15,I
609,2011/4/12,3,14,21,26,30,25,G
610,2011/4/19,3,8,14,17,30,19,D
611,2011/4/26,12,18,21,25,30,17,B
612,2011/5/3,11,18,24,27,30,4,C
613,2011/5/10,2,16,17,20,28,14,E
614,2011/5/17,7,16,23,25,30,11,F
615,2011/5/24,4,12,13,19,20,10,H
616,2011/5/31,7,18,21,27,28,10,A
617,2011/6/7,3,9,16,19,28,25,J
618,2011/6/14,10,12,14,22,31,23,I
619,2011/6/21,4,7,14,20,30,28,G
620,2011/6/28,2,14,21,25,31,5,I
621,2011/7/5,6,12,18,24,30,9,B
622,2011/7/12,13,14,20,25,27,19,D
623,2011/7/19,4,9,14,15,26,29,H
624,2011/7/26,5,7,11,12,24,4,E
625,2011/8/2,19,20,23,26,31,6,F
626,2011/8/9,11,12,14,17,26,23,A
627,2011/8/16,6,10,14,15,20,19,J
628,2011/8/23,1,2,10,17,20,18,C
629,2011/8/30,1,3,16,26,29,31,G
630,2011/9/6,3,4,16,19,31,14,D
631,2011/9/13,3,15,18,20,25,29,B
632,2011/9/20,6,14,15,25,26,13,E
633,2011/9/27,2,12,19,20,30,13,H
634,2011/10/4,6,14,24,27,31,22,I
635,2011/10/11,12,13,16,20,29,11,F
636,2011/10/18,8,13,21,26,30,3,A
637,2011/10/25,1,5,10,15,21,11,C
638,2011/11/1,1,16,18,27,30,15,J
639,2011/11/8,6,14,20,29,31,22,D
640,2011/11/15,6,15,18,28,31,8,G
641,2011/11/22,5,11,14,17,22,15,B
642,2011/11/29,9,22,26,27,31,28,E
643,2011/12/6,9,11,17,19,22,6,D
644,2011/12/13,5,13,15,20,27,30,B
645,2011/12/20,8,13,18,19,24,11,I
646,2011/12/27,3,6,16,30,31,17,A
647,2012/1/10,3,6,7,10,21,18,F
648,2012/1/17,6,13,18,19,21,26,C
649,2012/1/24,3,11,18,19,21,12,G
650,2012/1/31,4,11,18,24,26,13,B
651,2012/2/7,8,11,15,20,31,18,J
652,2012/2/14,2,5,19,28,29,23,E
653,2012/2/21,11,16,20,22,30,21,H
654,2012/2/28,6,11,22,25,27,2,F
655,2012/3/6,7,9,12,14,18,24,D
656,2012/3/13,4,10,15,22,23,7,B
657,2012/3/20,9,14,18,23,30,10,C
658,2012/3/27,7,8,11,15,26,1,I
659,2012/4/3,5,9,22,30,31,3,G
660,2012/4/10,7,12,15,30,31,18,A
661,2012/4/17,2,6,9,19,20,27,E
662,2012/4/24,7,9,15,28,31,26,D
663,2012/5/1,1,9,10,21,31,23,J
664,2012/5/8,6,9,11,16,29,4,C
665,2012/5/15,7,12,17,20,28,9,B
666,2012/5/22,10,11,17,24,29,26,H
667,2012/5/29,8,9,19,26,31,28,F
668,2012/6/5,7,9,16,27,29,30,I
669,2012/6/12,4,7,8,25,31,14,E
670,2012/6/19,4,6,26,27,29,30,D
671,2012/6/26,7,14,19,22,27,28,A
672,2012/7/3,3,8,20,22,28,5,G
673,2012/7/10,6,12,21,24,25,22,C
674,2012/7/17,1,2,3,24,25,15,J
675,2012/7/24,6,21,27,28,31,20,H
676,2012/7/31,4,6,18,22,28,1,J
677,2012/8/7,10,16,23,24,30,18,F
678,2012/8/14,15,17,21,24,25,20,B
679,2012/8/21,5,11,23,29,31,28,I
680,2012/8/28,2,3,11,15,24,23,E
681,2012/9/4,6,12,17,19,30,9,D
682,2012/9/11,4,8,20,25,27,30,G
683,2012/9/18,1,7,15,23,26,11,C
684,2012/9/25,10,12,13,19,25,7,A
685,2012/10/2,8,11,19,21,30,1,F
686,2012/10/9,3,5,7,10,18,6,H
687,2012/10/16,2,9,17,24,29,22,J
688,2012/10/23,4,5,9,15,26,11,B
689,2012/10/30,12,13,19,23,25,28,E
690,2012/11/6,11,16,22,23,25,9,G
691,2012/11/13,3,9,10,20,25,31,I
692,2012/11/20,9,13,14,23,31,20,D
693,2012/11/27,5,17,21,24,25,3,C
694,2012/12/4,5,12,15,16,20,6,B
695,2012/12/11,4,19,20,27,28,14,G
696,2012/12/18,5,9,15,19,30,6,F
697,2012/12/25,5,7,17,25,27,18,A
698,2013/1/8,2,3,5,14,24,9,E
699,2013/1/15,6,12,21,24,28,15,H
700,2013/1/22,6,8,9,21,26,4,J
701,2013/1/29,4,8,13,15,26,3,C
702,2013/2/5,10,12,13,20,23,4,D
703,2013/2/12,3,10,16,28,31,15,I
704,2013/2/19,2,11,21,24,25,23,C
705,2013/2/26,8,16,18,21,22,27,B
706,2013/3/5,4,6,15,16,29,27,G
707,2013/3/12,2,11,23,27,29,3,F
708,2013/3/19,10,11,20,28,29,1,E
709,2013/3/26,2,5,16,17,18,30,H
710,2013/4/2,2,15,18,25,26,20,A
711,2013/4/9,3,5,10,17,25,22,J
712,2013/4/16,3,7,18,27,31,1,D
713,2013/4/23,4,13,22,28,31,16,A
714,2013/4/30,6,10,20,22,31,1,I
715,2013/5/7,2,3,5,9,22,18,C
716,2013/5/14,13,18,19,20,24,17,J
717,2013/5/21,3,5,14,23,26,1,G
718,2013/5/28,2,11,16,19,24,23,F
719,2013/6/4,2,9,18,22,27,16,E
720,2013/6/11,5,11,17,19,20,15,B
721,2013/6/18,3,5,12,15,22,2,D
722,2013/6/25,4,6,17,21,30,9,H
723,2013/7/2,4,7,9,25,31,18,A
724,2013/7/9,7,14,17,22,29,1,J
725,2013/7/16,6,11,26,28,30,19,I
726,2013/7/23,1,2,16,18,25,7,C
727,2013/7/30,4,7,14,16,24,27,G
728,2013/8/6,1,9,11,13,28,16,H
729,2013/8/13,13,16,17,20,29,11,E
730,2013/8/20,3,5,7,14,22,4,A
731,2013/8/27,7,9,18,28,30,11,D
732,2013/9/3,4,6,16,29,31,9,F
733,2013/9/10,5,9,11,18,20,31,B
734,2013/9/17,6,8,10,12,13,31,I
735,2013/9/24,3,14,16,23,30,7,G
736,2013/10/1,2,14,17,20,27,9,J
737,2013/10/8,5,12,18,19,23,16,C
738,2013/10/15,7,11,14,23,29,19,H
739,2013/10/22,1,4,19,24,31,18,A
740,2013/10/29,2,4,19,25,28,11,E
741,2013/11/5,6,11,12,15,25,10,D
742,2013/11/12,3,5,16,26,31,1,B
743,2013/11/19,4,15,18,20,30,5,F
744,2013/11/26,2,4,5,14,24,19,C
745,2013/12/3,3,10,13,14,22,15,J
746,2013/12/10,2,10,15,18,20,13,I
747,2013/12/17,1,12,23,29,30,9,G
748,2013/12/24,2,6,7,11,15,4,A
749,2014/1/7,1,11,14,16,30,25,H
750,2014/1/14,2,5,9,13,19,24,E
751,2014/1/21,7,15,18,19,30,8,D
752,2014/1/28,11,23,26,27,31,24,B
753,2014/2/4,2,10,20,23,24,26,F
754,2014/2/11,11,12,24,25,30,31,J
755,2014/2/18,20,21,22,25,27,14,I
756,2014/2/25,5,8,9,27,30,11,G
757,2014/3/4,12,15,21,25,27,22,C
758,2014/3/11,8,14,19,22,24,26,F
759,2014/3/18,8,18,23,24,30,4,A
760,2014/3/25,1,7,14,25,30,8,E
761,2014/4/1,7,14,16,21,31,17,H
762,2014/4/8,2,3,8,10,29,31,D
763,2014/4/15,3,5,12,14,18,8,B
764,2014/4/22,1,2,7,10,11,16,J
765,2014/4/29,16,19,20,22,31,26,I
766,2014/5/6,5,8,12,16,28,13,C
767,2014/5/13,6,8,10,25,31,27,F
768,2014/5/20,2,3,23,24,27,10,C
769,2014/5/27,3,11,15,22,24,29,G
770,2014/6/3,12,18,19,22,30,20,A
771,2014/6/10,7,11,22,26,30,27,E
772,2014/6/17,11,14,15,21,27,24,H
773,2014/6/24,1,2,6,11,26,17,D
774,2014/7/1,5,6,9,20,30,31,B
775,2014/7/8,5,6,14,24,31,15,J
776,2014/7/15,6,14,15,18,31,25,A
777,2014/7/22,4,10,20,22,24,21,G
778,2014/7/29,10,13,14,26,30,18,I
779,2014/8/5,1,8,9,10,13,18,C
780,2014/8/12,13,15,16,18,20,7,F
781,2014/8/19,2,7,10,21,24,4,E
782,2014/8/26,4,7,9,14,21,26,H
783,2014/9/2,4,5,10,15,20,8,D
784,2014/9/9,14,19,21,25,29,8,B
785,2014/9/16,7,21,22,26,28,5,J
786,2014/9/23,5,6,21,28,29,7,A
787,2014/9/30,11,15,22,26,31,7,G
788,2014/10/7,1,21,28,29,30,15,I
789,2014/10/14,4,5,11,16,31,19,C
790,2014/10/21,11,13,15,19,21,7,F
791,2014/10/28,6,16,18,30,31,10,E
792,2014/11/4,12,13,15,18,22,28,H
793,2014/11/11,6,10,18,20,31,24,D
794,2014/11/18,3,4,8,10,31,7,G
795,2014/11/25,2,6,11,14,18,1,A
796,2014/12/2,3,10,19,21,30,7,B
797,2014/12/9,8,9,29,30,31,18,J
798,2014/12/16,3,8,10,23,27,12,C
799,2014/12/23,1,2,17,19,26,24,I
800,2014/12/30,1,19,20,22,25,2,F
801,2015/1/6,5,7,20,22,25,17,H
802,2015/1/13,5,9,21,29,31,6,E
803,2015/1/20,2,4,18,19,27,23,D
804,2015/1/27,7,8,9,12,29,26,G
805,2015/2/3,8,9,11,17,30,3,A
806,2015/2/10,3,11,21,23,28,24,B
807,2015/2/17,5,7,13,17,19,3,J
808,2015/2/24,8,9,26,27,30,3,I
809,2015/3/3,2,8,11,13,25,1,C
810,2015/3/10,6,12,15,16,31,17,F
811,2015/3/17,8,9,10,13,21,18,H
812,2015/3/24,2,16,17,22,25,13,E
813,2015/3/31,3,6,9,14,15,17,A
814,2015/4/7,2,3,12,25,31,28,D
815,2015/4/14,20,21,26,27,28,3,G
816,2015/4/21,1,5,7,14,18,12,B
817,2015/4/28,1,10,23,27,29,18,J
818,2015/5/5,5,9,14,16,18,3,C
819,2015/5/12,2,9,14,15,24,13,I
820,2015/5/19,8,12,20,21,31,19,A
821,2015/5/26,6,8,18,21,23,30,H
822,2015/6/2,7,8,10,17,28,4,F
823,2015/6/9,6,10,14,18,23,9,E
824,2015/6/16,4,16,22,28,29,10,D
825,2015/6/23,3,8,12,21,26,19,B
826,2015/6/30,1,8,21,23,27,22,G
827,2015/7/7,3,4,6,23,31,10,J
828,2015/7/14,2,8,11,15,26,3,C
829,2015/7/21,8,12,19,23,31,6,A
830,2015/7/28,5,6,20,23,29,15,I
831,2015/8/4,7,9,17,19,21,3,H
832,2015/8/11,9,10,15,19,31,24,F
833,2015/8/18,6,9,15,24,28,12,A
834,2015/8/25,5,13,21,25,26,2,E
835,2015/9/1,1,9,11,23,29,17,D
836,2015/9/8,5,15,20,28,29,10,B
837,2015/9/15,4,5,9,24,25,31,J
838,2015/9/22,4,6,11,12,15,22,G
839,2015/9/29,2,6,14,27,30,12,C
840,2015/10/6,1,5,11,15,31,8,B
841,2015/10/13,5,6,7,13,18,8,I
842,2015/10/20,9,18,20,24,25,4,H
843,2015/10/27,2,14,23,28,30,26,J
844,2015/11/3,3,11,14,22,26,1,E
845,2015/11/10,3,10,22,24,30,28,F
846,2015/11/17,1,17,27,30,31,8,A
847,2015/11/24,7,18,19,21,31,15,D
848,2015/12/1,2,3,22,29,31,1,G
849,2015/12/8,4,14,17,19,20,26,B
850,2015/12/15,1,2,13,15,18,28,C
851,2015/12/22,10,19,20,24,31,23,D
852,2015/12/29,2,9,15,18,22,12,A
853,2016/1/5,6,11,17,18,30,28,I
854,2016/1/12,3,16,22,23,31,10,F
855,2016/1/19,2,7,17,22,24,25,H
856,2016/1/26,1,10,15,24,29,9,J
857,2016/2/2,2,4,21,24,28,29,E
858,2016/2/9,6,14,15,25,26,22,A
859,2016/2/16,13,17,19,28,31,25,B
860,2016/2/23,8,9,21,30,31,7,J
861,2016/3/1,4,8,12,17,27,3,C
862,2016/3/8,3,7,9,13,23,6,G
863,2016/3/15,1,2,11,27,28,21,D
864,2016/3/22,14,18,26,28,30,8,F
865,2016/3/29,3,8,16,17,31,9,J
866,2016/4/5,4,16,18,26,28,9,E
867,2016/4/12,13,23,24,28,30,31,I
868,2016/4/19,1,9,14,25,30,31,J
869,2016/4/26,2,14,16,19,30,5,H
870,2016/5/3,3,12,22,23,31,24,A
871,2016/5/10,4,17,24,27,31,19,B
872,2016/5/17,15,16,24,28,30,26,G
873,2016/5/24,4,6,10,23,29,3,C
874,2016/5/31,6,7,8,22,24,18,D
875,2016/6/7,2,3,8,11,28,10,J
876,2016/6/14,18,19,20,21,27,15,F
877,2016/6/21,5,14,20,22,23,16,G
878,2016/6/28,2,3,8,28,29,26,E
879,2016/7/5,2,13,24,27,31,12,I
880,2016/7/12,5,7,11,12,21,18,H
881,2016/7/19,10,11,17,29,30,15,A
882,2016/7/26,2,7,8,18,30,21,D
883,2016/8/2,1,17,18,21,25,23,J
884,2016/8/9,7,10,22,27,31,2,A
885,2016/8/16,9,17,21,24,27,11,B
886,2016/8/23,1,11,20,23,29,13,H
887,2016/8/30,3,4,19,28,29,23,B
888,2016/9/6,6,17,24,29,31,3,E
889,2016/9/13,5,6,12,17,22,23,C
890,2016/9/20,1,7,12,24,31,6,F
891,2016/9/27,10,17,29,30,31,25,H
892,2016/10/4,2,3,12,19,21,5,A
893,2016/10/11,11,14,20,22,25,5,G
894,2016/10/18,11,16,21,23,30,25,B
895,2016/10/25,7,8,9,11,14,22,D
896,2016/11/1,11,13,16,17,26,30,I
897,2016/11/8,16,17,18,23,31,29,J
898,2016/11/15,5,7,20,24,25,17,F
899,2016/11/22,1,7,19,20,31,29,E
900,2016/11/29,1,15,18,22,25,29,C
901,2016/12/6,2,10,13,23,24,27,A
902,2016/12/13,6,8,16,22,28,27,H
903,2016/12/20,2,5,21,24,29,4,G
904,2016/12/27,3,5,8,17,21,14,B
905,2017/1/10,4,17,18,22,27,10,D
906,2017/1/17,2,4,6,7,23,26,I
907,2017/1/24,3,4,10,22,31,6,J
908,2017/1/31,18,19,21,23,31,17,F
909,2017/2/7,3,12,14,20,27,22,I
910,2017/2/14,10,14,20,26,30,3,E
911,2017/2/21,2,3,4,13,16,17,C
912,2017/2/28,9,12,19,21,22,18,D
913,2017/3/7,2,9,17,21,23,28,A
914,2017/3/14,2,7,15,19,24,22,H
915,2017/3/21,14,22,24,26,27,7,G
916,2017/3/28,17,18,23,28,30,5,G
917,2017/4/4,1,9,10,24,27,13,C
918,2017/4/11,16,20,22,27,29,30,C
919,2017/4/18,4,7,9,15,23,11,B
920,2017/4/25,5,15,22,24,25,30,C
921,2017/5/2,6,8,10,14,30,13,J
922,2017/5/9,2,13,14,21,22,7,C
923,2017/5/16,8,20,21,22,27,19,F
924,2017/5/23,2,7,8,14,23,15,H
925,2017/5/30,9,14,19,27,30,16,A
926,2017/6/6,3,9,18,27,29,26,D
927,2017/6/13,1,6,7,17,18,16,I
928,2017/6/20,4,9,11,19,23,22,E
929,2017/6/27,2,4,5,11,20,22,B
930,2017/7/4,9,14,24,25,27,16,A
931,2017/7/11,2,3,18,24,25,9,G
932,2017/7/18,1,3,14,17,19,23,J
933,2017/7/25,3,4,22,26,29,5,H
934,2017/8/1,3,7,8,11,13,4,C
935,2017/8/8,3,11,13,20,31,16,F
936,2017/8/15,7,21,23,25,31,10,D
937,2017/8/22,5,12,13,15,24,25,I
938,2017/8/29,4,9,16,21,22,1,J
939,2017/9/5,8,12,20,23,28,16,B
940,2017/9/12,4,9,25,27,28,12,G
941,2017/9/19,3,11,12,15,28,17,E
942,2017/9/26,2,7,10,22,29,17,A
943,2017/10/3,4,11,18,28,30,10,F
944,2017/10/10,5,11,13,16,27,23,H
945,2017/10/17,14,17,21,25,31,15,B
946,2017/10/24,5,14,24,28,29,20,A
947,2017/10/31,3,7,19,24,27,16,C
948,2017/11/7,3,6,12,13,22,4,D
949,2017/11/14,1,2,5,6,21,25,I
950,2017/11/21,5,8,12,14,28,1,E
951,2017/11/28,3,9,12,26,27,25,J
952,2017/12/5,4,10,15,16,18,8,B
953,2017/12/12,4,5,9,22,29,2,G
954,2017/12/19,11,16,21,23,25,18,A
955,2017/12/26,9,12,17,21,30,28,E
956,2018/1/9,6,15,18,22,29,31,H
957,2018/1/16,2,15,26,29,31,3,D
958,2018/1/23,3,10,15,17,19,20,C
959,2018/1/30,2,3,9,14,19,15,H
960,2018/2/6,2,3,5,16,20,9,G
961,2018/2/13,2,11,18,20,29,3,B
962,2018/2/20,3,10,15,18,25,27,E
963,2018/2/27,4,7,17,21,28,10,I
964,2018/3/6,16,19,27,28,30,12,J
965,2018/3/13,7,13,15,19,28,23,F
966,2018/3/20,1,11,25,26,27,30,A
967,2018/3/27,4,7,11,14,31,2,H
968,2018/4/3,1,5,10,20,24,3,D
969,2018/4/10,1,4,18,24,27,6,C
970,2018/4/17,2,4,19,27,28,7,E
971,2018/4/24,7,17,18,20,24,13,I
972,2018/5/1,13,19,21,22,27,14,G
973,2018/5/8,1,7,12,13,31,30,I
974,2018/5/15,10,18,21,24,27,30,G
975,2018/5/22,10,18,19,28,29,16,B
976,2018/5/29,2,4,15,16,19,8,J
977,2018/6/5,9,17,21,22,23,5,F
978,2018/6/12,1,8,20,26,28,7,E
979,2018/6/19,1,10,23,25,28,12,C
980,2018/6/26,8,24,27,30,31,16,A
981,2018/7/3,10,11,19,28,30,22,H
982,2018/7/10,5,8,20,22,27,24,D
983,2018/7/17,6,10,12,15,23,25,I
984,2018/7/24,2,4,5,16,27,14,A
985,2018/7/31,5,11,16,17,26,3,J
986,2018/8/7,1,21,22,25,27,28,F
987,2018/8/14,6,13,15,17,21,22,G
988,2018/8/21,1,9,11,14,21,28,E
989,2018/8/28,2,7,10,16,30,24,G
990,2018/9/4,3,9,17,23,25,13,A
991,2018/9/11,1,3,9,15,30,6,C
992,2018/9/18,1,14,17,20,31,24,B
993,2018/9/25,1,4,24,29,30,10,C
994,2018/10/2,7,8,19,27,31,26,D
995,2018/10/9,1,5,14,21,30,12,H
996,2018/10/16,9,19,20,22,26,7,F
997,2018/10/23,1,3,8,11,14,16,H
998,2018/10/30,1,7,19,20,25,27,I
999,2018/11/6,6,17,18,20,29,26,A
1000,2018/11/13,3,8,14,18,26,7,B
1001,2018/11/20,5,12,16,22,27,18,G
1002,2018/11/27,2,9,11,20,27,5,J
1003,2018/12/4,11,14,15,22,29,10,F
1004,2018/12/11,1,18,22,27,30,20,E
1005,2018/12/18,5,13,18,26,31,11,D
1006,2018/12/25,10,15,19,23,26,6,C
1007,2019/1/8,2,10,11,25,31,17,F
1008,2019/1/15,3,4,22,26,27,11,I
1009,2019/1/22,2,8,17,23,27,4,A
1010,2019/1/29,10,17,20,21,30,15,H
1011,2019/2/5,9,16,21,30,31,27,G
1012,2019/2/12,1,13,18,26,29,8,G
1013,2019/2/19,1,6,11,19,28,8,B
1014,2019/2/26,4,17,19,20,25,5,J
1015,2019/3/5,3,5,6,20,25,27,C
1016,2019/3/12,5,21,23,25,27,22,E
1017,2019/3/19,9,16,21,23,24,8,F
1018,2019/3/26,13,16,23,27,29,15,D
1019,2019/4/2,5,6,16,23,24,3,B
1020,2019/4/9,3,12,17,24,30,31,I
1021,2019/4/16,13,19,23,25,29,8,H
1022,2019/4/23,5,13,24,27,29,22,A
1023,2019/4/30,2,12,22,23,26,25,G
1024,2019/5/7,4,11,12,23,28,3,J
1025,2019/5/14,3,4,13,19,23,18,G
1026,2019/5/21,3,14,15,22,26,1,B
1027,2019/5/28,5,6,17,21,27,19,C
1028,2019/6/4,2,3,8,16,27,17,E
1029,2019/6/11,3,4,9,11,29,5,F
1030,2019/6/18,21,24,26,27,28,22,H
1031,2019/6/25,5,8,17,21,23,15,D
1032,2019/7/2,1,9,14,21,26,29,C
1033,2019/7/9,2,12,14,24,31,22,I
1034,2019/7/16,12,22,27,28,29,10,A
1035,2019/7/23,3,8,11,16,31,26,G
1036,2019/7/30,7,14,16,23,28,9,E
1037,2019/8/6,7,19,23,24,27,17,J
1038,2019/8/13,2,5,21,23,30,8,B
1039,2019/8/20,4,19,22,24,30,12,H
1040,2019/8/27,7,10,13,25,27,30,A
1041,2019/9/3,3,9,14,15,27,31,F
1042,2019/9/10,11,12,19,23,28,7,E
1043,2019/9/17,7,9,23,24,25,30,D
1044,2019/9/24,12,19,27,28,30,1,C
1045,2019/10/1,3,5,7,10,18,16,H
1046,2019/10/8,16,23,24,28,29,12,J
1047,2019/10/15,8,12,19,25,26,9,I
1048,2019/10/22,1,8,11,19,23,12,G
1049,2019/10/29,2,16,21,26,31,27,A
1050,2019/11/5,2,15,19,23,28,10,F
1051,2019/11/12,7,11,12,21,22,5,B
1052,2019/11/19,4,8,9,14,26,5,E
1053,2019/11/26,2,3,13,16,23,14,G
1054,2019/12/3,2,19,25,26,31,22,D
1055,2019/12/10,1,5,18,19,21,9,H
1056,2019/12/17,3,12,14,21,25,10,C
1057,2019/12/24,9,13,21,23,26,1,C
1058,2020/1/7,2,16,19,24,27,20,J
1059,2020/1/14,2,11,13,16,18,3,I
1060,2020/1/21,19,23,24,28,31,11,H
1061,2020/1/28,5,10,19,23,28,9,F
1062,2020/2/4,14,18,23,29,31,17,A
1063,2020/2/11,10,18,20,26,27,25,D
1064,2020/2/18,1,5,8,28,29,7,B
1065,2020/2/25,8,11,14,16,31,10,J
1066,2020/3/3,15,17,20,22,23,21,F
1067,2020/3/10,2,10,13,15,28,26,E
1068,2020/3/17,2,3,20,24,31,9,G
1069,2020/3/24,1,3,9,14,25,20,C
1070,2020/3/31,7,9,11,27,31,21,I
1071,2020/4/7,2,3,4,27,31,7,H
1072,2020/4/14,3,4,10,12,13,31,B
1073,2020/4/21,2,13,21,24,30,14,D
1074,2020/4/28,15,18,20,22,27,21,A
1075,2020/5/5,4,11,13,16,31,6,C
1076,2020/5/12,5,7,11,22,26,15,J
1077,2020/5/19,3,17,19,25,31,4,E
1078,2020/5/26,3,10,16,17,25,24,F
1079,2020/6/2,2,6,14,16,26,4,G
1080,2020/6/9,4,5,13,19,21,14,I
1081,2020/6/16,2,3,4,24,25,8,F
1082,2020/6/23,1,2,14,19,29,5,A
1083,2020/6/30,1,3,19,26,29,5,B
1084,2020/7/7,11,19,28,29,31,2,E
1085,2020/7/14,9,10,16,17,28,13,J
1086,2020/7/21,2,18,19,28,30,16,H
1087,2020/7/28,1,3,4,9,16,28,E
1088,2020/8/4,2,8,14,17,26,4,D
1089,2020/8/11,3,13,18,19,22,29,C
1090,2020/8/18,4,12,15,22,25,10,G
1091,2020/8/25,1,14,25,29,31,30,A
1092,2020/9/1,9,13,14,19,22,25,B
1093,2020/9/8,2,12,17,23,30,8,I
1094,2020/9/15,3,5,8,14,22,21,F
1095,2020/9/22,4,10,16,21,24,6,G
1096,2020/9/29,1,2,12,20,22,8,J
1097,2020/10/6,5,12,18,19,24,16,D
1098,2020/10/13,3,13,17,28,31,19,G
1099,2020/10/20,1,3,5,14,23,15,H
1100,2020/10/27,13,18,19,25,27,16,E
1101,2020/11/3,1,8,10,12,29,13,B
1102,2020/11/10,8,13,20,26,29,6,C
1103,2020/11/17,1,6,7,21,31,18,A
1104,2020/11/24,7,16,20,23,28,6,I
1105,2020/12/1,4,11,16,21,26,9,F
1106,2020/12/8,2,18,21,25,30,19,E
1107,2020/12/15,7,10,16,18,29,5,J
1108,2020/12/22,6,10,14,17,19,27,F
1109,2020/12/29,7,15,17,26,27,8,D
1110,2021/1/5,2,7,19,23,28,3,G
1111,2021/1/12,2,3,4,13,31,29,D
1112,2021/1/19,5,6,8,13,25,29,B
1113,2021/1/26,19,20,21,26,27,12,H
1114,2021/2/2,7,18,21,25,26,12,C
1115,2021/2/9,2,4,6,11,29,20,E
1116,2021/2/16,7,24,25,27,29,10,A
1117,2021/2/23,4,13,22,27,30,19,F
1118,2021/3/2,8,13,16,27,29,11,G
1119,2021/3/9,9,10,12,17,18,14,I
1120,2021/3/16,2,10,11,17,31,26,J
1121,2021/3/23,13,19,21,24,25,16,D
1122,2021/3/30,8,9,14,25,28,11,E
1123,2021/4/6,7,17,26,28,29,24,B
1124,2021/4/13,3,4,6,8,27,12,G
1125,2021/4/20,2,6,10,14,21,18,C
1126,2021/4/27,6,8,20,30,31,25,A
1127,2021/5/4,8,22,24,27,28,16,E
1128,2021/5/11,4,7,13,24,30,2,F
1129,2021/5/18,5,9,16,29,30,12,H
1130,2021/5/25,5,6,8,25,26,11,D
1131,2021/6/1,6,8,11,24,29,23,I
1132,2021/6/8,3,4,14,15,18,5,B
1133,2021/6/15,14,17,23,28,30,7,E
1134,2021/6/22,6,13,20,23,28,21,J
1135,2021/6/29,7,19,21,23,28,24,G
1136,2021/7/6,11,15,20,22,23,4,C
1137,2021/7/13,7,8,21,25,31,14,A
1138,2021/7/20,14,20,23,28,29,27,F
1139,2021/7/27,12,16,17,24,31,22,E
1140,2021/8/3,7,11,17,19,28,25,J
1141,2021/8/10,9,12,17,18,27,22,H
1142,2021/8/17,11,23,25,29,30,18,I
1143,2021/8/24,3,4,16,19,27,23,D
1144,2021/8/31,4,11,14,21,30,27,E
1145,2021/9/7,11,14,20,28,31,12,B
1146,2021/9/14,4,5,11,29,30,24,F
1147,2021/9/21,6,8,23,27,29,21,G
1148,2021/9/28,1,3,6,15,19,10,C
1149,2021/10/5,5,12,14,15,20,7,D
1150,2021/10/12,1,10,13,27,29,14,A
1151,2021/10/19,14,18,21,30,31,9,J
1152,2021/10/26,2,12,14,23,27,21,H
1153,2021/11/2,17,25,27,29,30,15,I
1154,2021/11/9,9,10,12,21,24,27,B
1155,2021/11/16,1,9,13,16,19,18,F
1156,2021/11/23,1,3,14,27,30,7,J
1157,2021/11/30,2,6,7,13,30,17,E
1158,2021/12/7,1,14,23,25,26,29,G
1159,2021/12/14,11,12,14,18,31,6,G
1160,2021/12/21,7,19,22,24,31,21,A
1161,2021/12/28,3,9,13,17,24,29,C
1162,2022/1/4,2,21,23,24,29,11,D
1163,2022/1/11,2,9,11,22,29,3,H
1164,2022/1/18,4,9,19,26,31,25,I
1165,2022/1/25,5,13,16,27,31,24,B
1166,2022/2/1,6,11,14,17,25,24,F
1167,2022/2/8,2,14,21,27,30,23,J
1168,2022/2/15,5,13,14,24,31,2,D
1169,2022/2/22,1,7,9,21,27,13,C
1170,2022/3/1,2,16,18,20,28,29,E
1171,2022/3/8,1,3,6,16,23,31,G
1172,2022/3/15,11,24,26,28,29,22,I
1173,2022/3/22,3,4,13,16,27,9,A
1174,2022/3/29,5,6,21,29,30,27,H
1175,2022/4/5,1,7,15,16,29,2,B
1176,2022/4/12,1,12,20,27,29,17,D
1177,2022/4/19,3,10,16,21,30,7,J
1178,2022/4/26,1,5,9,13,22,31,F
1179,2022/5/3,18,19,20,25,30,27,A
1180,2022/5/10,13,15,16,26,29,27,C
1181,2022/5/17,2,9,13,16,22,15,G
1182,2022/5/24,7,10,20,22,28,21,E
1183,2022/5/31,3,7,9,14,15,23,I
1184,2022/6/7,5,8,12,19,27,15,G
1185,2022/6/14,1,14,16,17,22,4,H
1186,2022/6/21,9,13,15,24,28,17,B
1187,2022/6/28,3,5,6,11,23,16,D
1188,2022/7/5,2,25,26,29,31,6,I
1189,2022/7/12,6,7,16,17,22,9,A
1190,2022/7/19,3,20,23,24,28,29,A
1191,2022/7/26,11,16,20,25,26,7,F
1192,2022/8/2,4,10,11,22,31,28,J
1193,2022/8/9,1,4,8,11,20,15,E
1194,2022/8/16,3,5,7,18,20,30,J
1195,2022/8/23,3,10,11,13,14,4,G
1196,2022/8/30,1,5,17,19,23,26,C
1197,2022/9/6,7,9,17,26,27,24,H
1198,2022/9/13,10,11,17,30,31,1,J
1199,2022/9/20,6,13,19,23,28,10,B
1200,2022/9/27,2,16,18,22,24,4,I
1201,2022/10/4,1,2,16,23,30,8,D
1202,2022/10/11,4,5,15,27,30,12,A
1203,2022/10/18,4,7,8,12,19,23,F
